№	Дата/время		Температура	Осадки (мм)
1	2025-05-26T00:00	11,9		0,00
2	2025-05-26T01:00	11,5		0,00
3	2025-05-26T02:00	11,2		0,00
4	2025-05-26T03:00	10,7		0,00
5	2025-05-26T04:00	10,7		0,00
6	2025-05-26T05:00	11,3		0,00
7	2025-05-26T06:00	13,3		0,00
8	2025-05-26T07:00	15,1		0,00
9	2025-05-26T08:00	17,1		0,00
10	2025-05-26T09:00	19,2		0,00
11	2025-05-26T10:00	21,1		0,00
12	2025-05-26T11:00	22,9		0,00
13	2025-05-26T12:00	24,2		0,00
14	2025-05-26T13:00	25,0		0,00
15	2025-05-26T14:00	25,4		0,00
16	2025-05-26T15:00	25,5		0,00
17	2025-05-26T16:00	25,3		0,00
18	2025-05-26T17:00	24,8		0,00
19	2025-05-26T18:00	24,0		0,00
20	2025-05-26T19:00	22,3		0,00
21	2025-05-26T20:00	20,2		0,00
22	2025-05-26T21:00	18,3		0,00
23	2025-05-26T22:00	16,8		0,00
24	2025-05-26T23:00	15,5		0,00
